STAS,Year,H,NQI1,No.species,No.ind,Fine.Fraction,TOC,TOC_norm
B05,1990,3.76302627123467,0.773851595823257,29,85.5,87.73,26.18,32.3156
B05,1991,4.01919271444435,0.727396596405568,26,71.5,82.63,21.98,28.4036
B05,1992,4.57832703373088,0.723976085785012,30,74.5,95.1,33.6,39.522
B05,1993,4.57871950481118,0.727643097765453,40,132,88.20682109,27.5,33.7477722038
B05,1994,4.47094075057761,0.741981341618821,36.5,136.5,94.63667052,31.6,37.3053993064
B05,1995,3.66000570100046,0.739435977947535,22.5,59,96.69469185,35.475,41.391205467
B05,1996,3.81479138749146,0.694709142549313,26,91,85.00454783,30.675,33.3741813906
B05,1997,4.0090317789783,0.713994053984646,44,282,83.05,31.3,34.351
B05,1998,4.32463403412964,0.76271194383243,29.5,67.5,97.18,37.2,37.7076
B05,1999,4.51548397133216,0.780649423613103,31.5,84.5,97.26944832,39.8,40.2914993024
B05,2000,4.67892479804993,0.771012627831876,37,121,76,39.4,43.72
B05,2001,4.44093900508871,0.781100273516901,38,153.5,95.01,37.7,38.5982
B05,2002,4.28960534159627,0.720027597921,35,124,92.75,37.6,38.905
B05,2003,4.33224994660416,0.752785255876157,33,110.5,94.485,39.425,40.4177
B05,2004,4.25861194689542,0.752357350246726,37.5,129.5,78.6775,29.725,33.56305
B05,2005,4.38847104067612,0.738512744470613,37.5,162,48,17.8,27.16
B05,2006,4.22096176861038,0.700071132595266,35,180.5,94.27,36.8,37.8314
B05,2007,4.23208627660525,0.774844752360742,37,166,65.35,22.8,29.037
B05,2008,3.69476567141876,0.75554352703822,25.5,164,98,37.2,37.56
B05,2009,3.93387330526458,0.746922192348418,29.5,119,95,37.5,38.4
B05,2010,4.50666099,0.7708619305,44,214,85,28,30.7
B05,2011,4.4398289495,0.752344368,32.5,109.5,98,36.1,36.46
B05,2012,3.4781182384436,0.736433736741003,23.5,110,NA,19.1,28.46
B05,2013,4.0858616654274,0.73970841561928,41.5,288.5,95,35.7,36.6
B05,2014,3.99213219105478,0.711845055589775,50.5,420.5,92,NA,42.44
B05,2015,4.20969976332938,0.762713582470659,43,277,84.4,37.8,40.608
B05,2016,4.22510208534964,0.811286566142343,46.5,218.5,79.2248503847252,30.6,34.3395269307495
B35,1990,2.801661029334,0.562853860495785,28.5,670,98.87,18.58,21.5704
B35,1991,2.59485782048966,0.550384532452396,21,495,99.43,18.1,20.9176
B35,1992,3.16474863120312,0.612493167799599,42.5,850.5,99.5,21.6,24.93
B35,1993,2.81368522398382,0.569219879236763,29,555,99.30222306,20.55,23.7580998492
B35,1994,2.93247123358181,0.582004117478018,35,718.5,99.40807671,19.6,22.6465461922
B35,1995,3.08230872570458,0.576476757938702,31,698,99.6791567,20.65,23.805251794
B35,1996,2.95942511320102,0.583275363025507,31,442,99.69228457,22.625,22.6803887774
B35,1997,2.79538597740363,0.565018335513642,26.5,442,99.25,22.3,22.435
B35,1998,2.80039081130075,0.586024304782752,28,324,99.28,26.7,26.8296
B35,1999,3.39731035363434,0.623101916848338,31,272.5,99.51131398,24,24.0879634836
B35,2000,3.47611059205756,0.619520284228936,33,370,96,23.4,24.12
B35,2001,3.53598681145736,0.625020346932231,30.5,320,99.22,22.5,22.6404
B35,2002,3.44167104217312,0.619471058882926,35,387.5,99,22.3,22.48
B35,2003,3.1028552987217,0.597927658540975,25.5,328.5,99.23,22.025,22.1636
B35,2004,3.36711981978298,0.624022998612114,35,568.5,98.705,22.65,22.8831
B35,2005,3.37732086324399,0.621158464877686,26.5,247.5,99.33,21.5,21.6206
B35,2006,3.23660375400524,0.639074524643747,36,497,98.77,22.1,22.3214
B35,2007,3.83617552116916,0.655160928826361,34,280.5,96.18,22,22.6876
B35,2008,3.77147049936669,0.661902876104669,35,352.5,98,23.3,23.66
B35,2009,3.85507121013824,0.702125558139028,34,182,98,22.2,22.56
B35,2010,4.4410249285,0.753014845,45,239,99,22,22.18
B35,2011,3.833143361,0.677320669,39,320.5,99.5,23.1,23.19
B35,2012,4.13914432826539,0.698005458457584,33.5,182,NA,21.5,24.38
B35,2013,4.12884444110359,0.68000837557409,40,454,98,22.1,22.46
B35,2014,4.3487021148136,0.684627374364645,42,321.5,97,NA,37.54
B35,2015,3.95657446107063,0.711895358439651,42,351.5,91.2,22.9,24.484
B35,2016,3.92149832398447,0.727926729723869,49.5,499,99.1082802547769,22.9,23.0605095541402
