"Site";"Year";"DCA1";"DCA2";"DCA3";"DCA4"
"B05";1990;0,679553670094978;0,460342674363773;0,610661735418099;-0,402839440764924
"B05";1991;0,77201202215384;0,348379653096631;0,590068926911415;-0,0820887991916015
"B05";1992;0,64937898321462;-0,110540743745881;0,358031769244942;0,050380809322828
"B05";1993;0,6968747712288;-0,537674375145881;-0,125921339523015;-0,109910709207044
"B05";1994;0,673926934802445;-0,0983237911342592;0,0695624240512286;0,0634520908989475
"B05";1995;0,316770708286315;-0,392931746837737;-0,475875850647091;0,300966704107852
"B05";1996;0,357568156094464;0,33618628951504;0,458886268241978;-0,085421227890488
"B05";1997;0,172361833417032;0,442721967291996;-0,0656484015338921;0,262368428765054
"B05";1998;0,655453702144745;0,521192445350777;-0,292247032635882;0,473820304867388
"B05";1999;0,65448801160344;0,127993244707822;-0,200585193664396;0,189197876711482
"B05";2000;0,577990707682442;0,0887631860112036;-0,350028510835146;0,0264576782202544
"B05";2001;0,680558703627677;0,427662883842419;-0,249272640464339;-0,272542380789451
"B05";2002;0,945479623352579;-0,0210314387722808;-0,322632106202236;0,00242828540662665
"B05";2003;0,477198873942321;-0,0132202010585906;-0,346938438317212;-0,30923476266913
"B05";2004;0,175985981426382;-0,0852522623278222;-0,246735763691081;-0,281770361172271
"B05";2005;0,49750357451527;-0,0322290984006995;0,286281195377819;-0,187860828108937
"B05";2006;0,224952024679213;-0,562691056824086;0,619290146757242;0,34516232329031
"B05";2007;0,0675756782721834;-0,168099885678955;0,219157179969918;0,00715276049299773
"B05";2008;-0,371288249245835;-0,335533888178173;-0,45906877925808;0,321331779714103
"B05";2009;-0,542007722555136;-0,405656243489985;0,03993936797471;0,127546847959596
"B05";2010;-0,420612143345559;-0,32573420472978;0,177617719970617;0,050266141520315
"B05";2011;-0,262519237608335;0,074485336153377;0,0709927833912402;-0,146680945273319
"B05";2012;-0,529542727216578;0,461937235396705;0,121855121272843;-0,323316629709052
"B05";2013;-0,564746437198508;0,0347447955034977;-0,0386332219882891;0,129335340607626
"B05";2014;-0,751035872117974;-0,0179549790945143;0,116517710694097;0,172050384701377
"B05";2015;-0,703234783275088;0,124701879178264;-0,0361551480186457;-0,329006333955498
"B05";2016;-0,422893303141613;-0,0149543160914668;-0,38183777941502;-0,276769655309831
