"Year";"DCA1";"DCA2";"DCA3";"DCA4"
1994;-0,328047011020768;0,0910286769596035;-0,0266459831603416;-0,22670993057345
1995;0,122730068409883;0,0263574941043084;0,119793697781961;0,0499398176468374
1996;0,0672547671720132;0,0359418490024237;0,178070641674645;0,200102168423945
1997;0,381890938274138;-0,210641462803034;-0,113179746797875;0,151513117852261
1998;1,12567807776972;-0,209065247427478;0,285396907607338;0,305978695419861
1999;0,673541001857675;-0,206432396915575;-0,00487215618990311;0,301579019830715
2000;0,757276578077086;0,00874719890996251;0,104269446248613;0,313030046394391
2001;0,401568960879819;-0,173257676799968;0,587186007149195;0,724298727491463
2002;0,921900397381428;-0,316964222981769;0,0180548446047575;0,418497554452556
2003;-0,269098279914272;0,0210973560318422;-0,148173280875277;-0,144434610242244
2004;-0,410569237534107;0,211691505335454;-0,0728732473359288;-0,207986704288373
2005;-0,543262901779442;0,116175029342612;-0,16824951138726;-0,272621777297324
2006;0,53201793306423;-0,246431166798827;-0,0738029155820848;0,238552200757363
2007;-0,272431528765397;0,0700816834797072;-0,0632932030167314;-0,105759632546735
2008;-0,550998246395249;0,121111893918884;-0,146769171178849;-0,289252016467697
2009;-0,562785983536472;0,0878930365126149;-0,182451553318471;-0,284016708716129
2010;-0,00914589720430292;0,0109674794540637;0,0692784893011914;0,160730660623145
2011;0,0953136139965232;-0,0707300826027616;-0,0933106144656143;0,0181183316854429
2012;0,845305399679612;1,35081254480354;0,887619779470433;0,307482429374893
2013;1,10306029692355;-0,415350976650478;-0,0154669776631928;0,495214540241437
2014;0,698441578508654;0,127243765215039;0,63214816781374;-0,325435591461536
2015;1,1025968841176;-0,0419873489748226;0,261447479765728;0,398465121423292
2016;-0,544054654353776;0,10889247367698;-0,172403411340654;-0,277211048288713
